Series,,Number,,Year,,,
Comics Toons 'N' Toys,,,-1,-1,,,
The Complete Copybook Tales - The Minicomics,,,-1,-1,,,
The Complete Copybook Tales - The Short Stories,,2,-1,1995,,,
The Couriers  - The Ballad of Johnny Funwrecker,,3,-1,2005,,,
The Creech - Out For Blood,,1,-1,2001,,,
The Creech - Out For Blood,,2,-1,2001,,,
The Creech - Out For Blood,,3,-1,2001,,,
The Creech - Rage Against Death,,1,-1,1997,,,
The Creech - Rage Against Death,,2,-1,1997,,,
The Creech - Rage Against Death,,3,-1,1997,,,
The Creeper,,5,-1,2007,,,
The Creeper,,6,-1,2007,,,
The Cryptics,,3,-1,2007,,,
Curse of the Spawn,,9,-1,1997,,,
Curse of the Spawn,,10,-1,1997,,,
Curse of the Spawn,,11,-1,1997,,,
Curse of the Spawn,,12,-1,1997,,,
Curse of the Spawn,,13,-1,1997,,,
Curse of the Spawn,,14,-1,1997,,,
Curse of the Spawn,,15,-1,1997,,,
Curse of the Spawn,,16,-1,1998,,,
Curse of the Spawn,,17,-1,1998,,,
Curse of the Spawn,,18,-1,1998,,,
Curse of the Spawn,,19,-1,1998,,,
Cut,,,-1,2007,,,
Daken - Dark Wolverine,,4,-1,2011,,,
Daken - Dark Wolverine,,4,-1,2011,,,
Dale Roberts Comics,,,-1,-1,,,
The Damned,,2,-1,2006,,,
The Damned,,4,-1,2007,,,
The Damned,,5,-1,2007,,,
The Damned - Prodigal Sons,,1,-1,2008,,,
The Damned - Prodigal Sons,,2,-1,2008,,,
Daredevil Reborn,,1,-1,2011,,,
The Dark Knight,,1,-1,2011,,,
Dark Sun,,1,-1,2011,,,
The Dark Tower - End-World Almanac,,1,-1,2008,,,
The Dark Tower - The Gunslinger - The Journey Begins,,1,-1,2010,,,
The Dark Tower - The Gunslinger - The Little Sisters Of Eluria,,1,-1,2011,,,
Dark Tower - The Gunslinger - The Little Sisters Of Eluria,,2,-1,2011,,,
The Dark Tower - The Gunslinger Born,,1,-1,2007,,,
The Dark Tower - The Gunslinger Born,,2,-1,2007,,,
The Dark Tower - The Gunslinger Born,,5,-1,2007,,,
The Dark Tower - The Gunslinger Born,,6,-1,2007,,,
The Dark Tower - The Gunslinger Born,,7,-1,2007,,,
The Dark Tower - The Long Road Home,,1,-1,2008,,,
The Dark Tower - The Long Road Home,,2,-1,2008,,,
The Dark Tower - The Long Road Home,,3,-1,2008,,,
The Dark Tower - The Long Road Home,,4,-1,2008,,,
The Dark Tower - The Long Road Home,,5,-1,2008,,,
The Dark Tower - The Long Road Home - Bookmark,,,-1,2007,,,
The Darkness,,2,-1,2008,,,
The Darkness,,86,-1,2010,,,
The Darkness,,87,-1,2010,,,
The Darkness,,88,-1,2011,,,
The Darkness,,1,3,2007,,,
The Darkness,,2,3,2008,,,
The Darkness,,3,3,2008,,,
The Darkness,,4,3,2008,,,
The Darkness - Butcher,,1,-1,2008,,,
The Darkness - First Look,,,-1,2007,,,
The Darkness - Four Horsemen,,1,-1,2010,,,
The Darkness - Four Horsemen,,2,-1,2010,,,
The Darkness vs Eva - Daughter of Dracula,,1,-1,2008,,,
The Darkness vs Eva - Daughter of Dracula,,1,-1,2008,,,
The Darkness vs Eva - Daughter of Dracula,,3,-1,2008,,,
The Darkness vs Eva - Daughter of Dracula,,4,-1,2008,,,
The Darkness vs Eva - Daughter of Dracula,,4,-1,2008,,,
The Darkness vs Eva - Daughter of Dracula 03,,1,-1,2008,,,
DarkWing Duck,,8,-1,2011,,,
DC Comics Presents Batman 100-Page Spectacular,,3,-1,2011,,,
DC Heroes RPG MFG  Doom Patrol Moonshot,,238,-1,-1,,,
DC Heroes RPG MFG  Green Lantern Corps Sourcebook,,234,-1,-1,,,
DC Showcase Presents Cover Collection Complete,,42008,-1,-1,,,
DC Showcase Presents Cover Collection Update,,42008,-1,-1,,,
DC Super Hero Collection  - Batman,,1,-1,2008,,,
DCP,,0,-1,2009,,,
Dead Eyes Open,,5,-1,2006,,,
The Dead Rider,,2,-1,2008,,,
The Dead Rider,,2,-1,2008,,,
The Deadlander,,1,-1,2007,,,
The Deadliest Heroes of Kung Fu,,1,-1,-1,,,
Deadpool,,31,-1,2010,,,
Deadpool,,31,-1,2011,,,
Deadpool,,31,-1,2011,,,
Deadpool Corps,,9,-1,2011,,,
Deadpool MAX,,4,-1,2011,,,
Deadpool MAX,,4,-1,2011,,,
Deadpool MAX,,4,-1,2011,,,
The Death Of Captain Marvel,,,-1,1982,,,
Death of Spiderman Flyer & Checklist,,,-1,2011,,,
The Death Of The New Gods,,1,-1,2007,,,
The Death Of The New Gods,,4,-1,2008,,,
Deathstroke the Terminator,,22,-1,1993,,,
The Defenseless Dead,,1,-1,1991,,,
The Defenseless Dead,,2,-1,1991,,,
The Defenseless Dead,,3,-1,1991,,,
Dennis the Menace Bonus Magazine,,123,-1,1973,,,
The Descendants,,1,-1,2006,,,
Detective Comics,,871,-1,2011,,,
