b.CVDB_ID, b.Series, b.Number, b.Volume, b.FileName, b.PageCount, b.FileSize, b.ID 
None, Grimm Fairy Tales, 28, , Grimm Fairy Tales 028 (2008) (c2c) (greengiant-DCP).cbz, 32, 14.8497924805, 29da3bf1-cf7a-4c33-b2b8-d31859d5d04f
None, Grimm Fairy Tales, 29, , Grimm Fairy Tales 029 (2008) (A&B covers - c2c) (greengiant-DCP).cbz, 34, 14.0437726974, 95dd4c36-4800-4d0e-8b82-b8b35747a068
None, Grimm Fairy Tales, 48, , Grimm Fairy Tales 48 (2010) (Minutemen-DarthTremens).cbz, 26, 25.1508588791, 5f01bd0e-095a-4070-8815-04aa4872c9f2
None, Grimm Fairy Tales, 49, , Grimm Fairy Tales 049(c2c)(2 covers)(Zenescope)(2010)(YZ1).cbz, 36, 14.5214958191, 658986e2-6b8a-42c9-8e92-725a480bd0e6
None, Grimm Fairy Tales, 49, , Grimm Fairy Tales 49 (2010) (Minutemen-DarthTremens).cbz, 25, 19.0574388504, 2424b1b3-543d-43e3-a573-d7e0cf033636
None, Grimm Fairy Tales, 50, , Grimm Fairy Tales 050(c2c)(2 covers)(Zenescope)(2010)(YZ1).cbz, 66, 30.6170177460, 52e52a66-0081-44fb-9291-29e76d9f8d7b
None, Grimm Fairy Tales, 50, , Grimm Fairy Tales 50 (2010) (two covers) (Minutemen-DarthTremens).cbz, 54, 52.5277690887, 04c3c964-5cff-49d7-98b1-1429b26c81e8
None, Grimm Fairy Tales, 51, , Grimm Fairy Tales 051(c2c)(2 covers)(Zenescope)(2010)(YZ1).cbz, 37, 23.9380435944, c3703d43-6321-491a-a5ec-076f5738bf12
None, Grimm Fairy Tales, 51, , Grimm Fairy Tales 51 (2010) (Minutemen-DarthTremens).cbz, 26, 24.3910751343, fff299bd-5699-4c88-9433-1e2b08e7e5b4
None, Grimm Fairy Tales, 52, , Grimm Fairy Tales 052(c2c)(Zenescope)(2010)(YZ1).cbz, 37, 16.3040466309, d21196a3-13f4-48bf-bc05-a785a00359b7
None, Grimm Fairy Tales, 52, , Grimm Fairy Tales 052 (c2c) (Zenescope) (2010) (YZ1).cbz, 37, 16.3040723801, 34319ca2-d4e9-4041-82d6-17a919277a02
None, Grimm Fairy Tales, 52, , Grimm Fairy Tales 52 (2010) (Minutemen-DarthTremens).cbz, 26, 20.6709413528, 794c6c7d-aef9-4eff-b905-5f9d23cdced8
None, Grimm Fairy Tales, 53, , Grimm Fairy Tales 53 (2010) (Minutemen-DarthTremens).cbz, 27, 21.7121801376, 8892d2bd-cbea-4e96-8dd3-7a41d37a4b55
None, Grimm Fairy Tales, 54, , Grimm Fairy Tales 054(c2c)(Zenescope)(2010)(YZ1).cbz, 37, 16.4897480011, 066ed447-4690-44af-b4d2-12a5385c159d
None, Grimm Fairy Tales, 54, , Grimm Fairy Tales 54 (2010) (Minutemen-DarthTremens).cbz, 27, 20.6475906372, c2353f35-97a0-45bb-b8f8-31238cd55ad5
None, Grimm Fairy Tales - April Fools' Edition, 2, , Grimm Fairy Tales - April Fools' Edition 02 (2010) (Minutemen-DarthTremens).cbz, 47, 38.6227645874, 86c22f2b-4c69-4ed7-82ab-c1eddb428e00
None, Grimm Fairy Tales - Inferno, 2, , Grimm Fairy Tales - Inferno 02 (2010) (two covers) (Minutemen-CH3OH).cbz, 28, 22.3641777039, a57f8608-525b-4b54-95c0-a7ea4216d17c
None, Grimm Fairy Tales - Inferno, 3, , Grimm Fairy Tales - Inferno 03 (2010) (two covers) (Minutemen-CH3OH).cbz, 26, 18.0677518845, cc1019b3-a173-4cde-a144-89b34b40d2fe
None, Grimm Fairy Tales - Inferno, 4, , Grimm Fairy Tales - Inferno 04 (2010) (Minutemen-CH3OH).cbz, 24, 16.0705432892, 316494a9-a94f-4d9c-8759-7f7cc23d4a95
